latitude,longitude,prix
48.843487,2.354783,3500
48.762146,2.316364,8700
48.846278,2.287493,3500
48.837981,2.293138,3200
48.820109,2.289693,3500
48.824104,2.323652,2000
48.856298,2.335521,1800
48.882608,2.315169,2700
48.805221,2.26659,2600
48.846919,2.302567,2000
48.845598,2.285581,8300
48.762146,2.316364,4000
48.84728,2.286472,2000
48.837981,2.293138,2400
48.86803,2.297355,6300
48.848437,2.346777,2700
48.893532,2.317772,2400
48.816951,2.259606,8000
48.882608,2.315169,3500
48.856801,2.32433,2900
48.901828,2.318109,8000
48.798121,2.349768,7500
48.869538,2.388469,4000
48.881981,2.338419,5900
48.882608,2.315169,2700
48.820109,2.289693,8300
48.836067,2.320377,3200
48.882608,2.315169,2700
48.856039,2.305889,2000
48.882837,2.289472,4000
48.867531,2.307914,2400
48.811623,2.373221,17800
48.880196,2.383453,9900
48.798121,2.349768,6700
48.845598,2.285581,9100
48.839747,2.316738,2700
48.856244,2.368126,3200
48.829303,2.243792,10300
48.882608,2.315169,2700
48.839747,2.316738,7100
48.829339,2.235351,2000
48.839448,2.305037,4000
48.807036,2.281633,2700
48.853432,2.327832,2400
48.882608,2.315169,3500
48.804919,2.39598,8700
48.86502,2.377067,4000
48.846865,2.288033,2400
48.873768,2.30418,7100
48.882608,2.315169,2700
48.876955,2.383605,3390
48.261854,2.691792,3990
48.845598,2.285581,10390
48.884753,2.340113,3990
48.843493,2.285716,3990
48.882608,2.315169,3390
48.834422,2.285855,7623
48.860419,2.310671,11390
48.825903,2.240686,10990
48.835547,2.286479,2990
48.845598,2.285581,4390
48.882608,2.315169,3390
48.788456,2.368684,2000
48.849284,2.301575,2000
48.882608,2.315169,2700
48.768387,2.252911,7200
48.847699,2.288697,2400
48.835572,2.286741,2400
48.823314,2.254374,2400
48.836539,2.297484,2700
48.834219,2.301459,7900
48.845598,2.285581,7100
48.820641,2.2535,7900
48.882608,2.315169,2700
48.816951,2.259606,2700
48.839747,2.316738,6300
48.821246,2.294845,10800
48.882608,2.315169,2700
48.882608,2.315169,2700
48.852302,2.324039,2000
48.890193,2.305272,5100
48.846865,2.288033,2400
48.824377,2.242168,2000
48.749791,2.302639,21500
48.80048,2.479368,17200
48.846865,2.288033,6100
48.84728,2.286472,2000
48.846561,2.261624,17900
48.839377,2.418562,9500
48.867931,2.32518,3200
48.848948,2.339392,16700
48.882608,2.315169,2700
48.873768,2.30418,7100
48.824906,2.298072,5600
48.830082,2.280674,2700
48.849302,2.301662,2000
48.846919,2.302567,2000
48.824906,2.298072,7900
48.82869,2.26606,2400
48.825791,2.226975,2700
48.798121,2.349768,6300
48.882608,2.315169,2700
48.882608,2.315169,2700
48.782648,2.257427,3200
48.85396,2.272111,2400
48.837079,2.365043,8700
48.839747,2.316738,2700
48.775919,2.323736,4800
48.882608,2.315169,2700
48.887283,2.547924,3500
48.845598,2.285581,8700
48.882608,2.315169,2700
48.816951,2.259606,7900
48.852302,2.324039,2000
48.814029,2.359645,2000
48.846919,2.302567,2000
48.757968,2.303879,4800
48.882608,2.315169,2700
48.830082,2.280674,3200
48.77423,2.322428,8600
48.815017,2.312833,3500
48.849302,2.301662,2000
48.85334,2.317456,7900
48.846561,2.261624,4800
48.835547,2.286479,2700
48.882608,2.315169,2700
48.798121,2.349768,7100
48.846561,2.261624,12900
48.825485,2.311745,13900
48.836539,2.297484,2700
48.882608,2.315169,2700
48.849839,2.29952,3200
48.828886,2.336684,7600
48.87777,2.39504,12300
48.829062,2.309927,2700
48.854265,2.291245,6000
48.822032,2.19742,2700
48.828454,2.324556,9200
48.839405,2.283031,9300
48.839787,2.26595,4800
48.843517,2.29454,2700
48.846919,2.302567,2200
48.805297,2.361235,4800
48.882608,2.315169,2700
48.882608,2.315169,2700
48.882608,2.315169,2700
