latitude,longitude,prix
48.892841,2.347634,3200
48.884228,2.374215,2400
48.764702,2.255082,1800
48.852934,2.393246,2400
48.893808,2.27035,2000
48.867221,2.1932,7100
48.879412,2.387409,7100
48.901805,2.301932,2200
48.887355,2.381911,3200
48.895636,2.342743,2900
48.858508,2.409059,2200
48.897933,2.334762,2700
48.858683,2.384881,4000
48.868054,2.406472,4000
48.842365,2.19881,2700
48.631845,2.267679,3400
48.877006,2.395165,2700
48.899891,2.368529,2700
48.891641,2.382359,6000
48.868054,2.406472,4300
48.746844,2.267791,3200
48.890409,2.331136,3500
48.800209,2.171381,5400
48.885269,2.345108,4800
48.911914,2.358816,10000
48.874622,2.373808,2200
48.879412,2.387409,3500
48.855943,2.408118,3200
48.87673,2.384639,6000
48.8922,2.35294,4000
48.865482,2.359766,3600
48.905446,2.277192,6000
48.886053,2.350838,2200
48.614582,2.246462,7200
48.890491,2.34099,2700
48.885333,2.334054,2800
48.879187,2.55193,7600
48.87673,2.384639,3000
48.865008,2.35709,3200
48.887513,2.376217,3600
48.858508,2.409059,2200
48.850058,2.402665,2700
48.899623,2.306346,8000
48.880931,2.350865,3000
48.888843,2.340825,2000
48.877403,2.381319,8400
48.857754,2.39941,2700
48.906526,2.306504,3600
48.882378,2.370997,3200
48.877403,2.381319,3200
48.892921,2.325311,2800
48.87249,2.39383,2200
48.87249,2.39383,2200
48.895636,2.342743,2900
48.867115,2.366233,2200
48.875751,2.401487,2700
48.868054,2.406472,3200
48.900339,2.308739,2000
48.892634,2.283451,3200
48.8803,2.364844,5700
48.888312,2.381518,2800
48.885497,2.296425,4300
48.863959,2.373176,4800
48.865147,2.396918,2700
48.911914,2.358816,15600
48.889631,2.383281,2000
48.893131,2.354098,2200
48.883765,2.303796,3700
48.854484,2.406365,2700
48.893081,2.372844,2700
48.887574,2.370125,3600
48.852843,2.397673,4800
48.884119,2.301949,2700
48.903328,2.292273,3000
48.885486,2.378814,4300
48.881174,2.395988,2700
48.88818,2.388294,3200
48.890596,2.338683,2700
48.892993,2.347041,3500
48.876955,2.383605,2700
48.914793,2.32451,6200
48.888579,2.377931,2700
48.897322,2.303719,3200
48.868054,2.406472,5700
48.869372,2.397215,4300
48.869363,2.372455,4300
48.892297,2.329826,2200
48.918234,2.309449,8100
48.869027,2.560863,2000
48.88734,2.381499,4400
48.885179,2.379914,4300
48.89867,2.34224,2700
48.893987,2.321581,3200
48.893987,2.321581,3200
48.808916,2.488938,3200
48.783806,2.187651,8900
48.89867,2.34224,3200
48.93642,2.035082,15600
48.85836,2.387105,2000
48.894014,2.259536,2700
48.884998,2.230927,4700
48.894246,2.331131,5400
48.86249,2.400276,3200
48.890841,2.346003,6500
48.860664,2.354018,3200
48.854484,2.406365,2700
48.86814,2.350307,2200
48.893649,2.326953,2700
48.891495,2.440884,7300
48.868054,2.406472,5700
48.855364,2.384575,3200
48.893323,2.31832,3500
48.860664,2.354018,2700
48.87915,2.334905,4200
48.877403,2.381319,3900
48.877241,2.348381,1800
48.894034,2.377533,4200
48.88634,2.389736,8900
48.888697,2.39454,3200
48.879622,2.294478,5000
48.855313,2.375547,3200
48.905167,2.250456,7300
48.87857,2.315729,2900
48.864932,2.389641,2700
48.88768,2.370453,5700
48.878083,2.351055,8100
48.913364,2.273792,3500
48.905195,2.309257,2000
48.875089,2.378347,7200
48.868054,2.406472,6500
48.856847,2.359375,3200
48.882786,2.331424,2700
48.852832,2.407285,2700
48.919197,2.317105,2700
48.882961,2.285484,2700
48.854484,2.406365,2700
48.899402,2.285783,12200
48.884119,2.301949,2700
48.854702,2.371091,9700
48.882786,2.331424,15600
48.864521,2.359179,3200
48.889053,2.332177,4500
48.883213,2.299601,3200
48.895636,2.342743,2900
48.855107,2.389691,3500
48.908472,2.302018,2000
48.885854,2.323064,6100
48.916365,2.289263,2000
48.921963,2.284883,2700
48.751984,2.402319,2700
48.887648,2.367305,2700
48.889354,2.317473,3000
48.893911,2.313359,2700
48.898667,2.348163,2000
48.903317,2.327015,8100
48.879829,2.390083,2700
48.914426,2.344498,7600
48.894915,2.376267,9700
48.886195,2.527908,17700
48.88428,2.336127,2000
48.888665,2.349295,2900
